Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3502507;Aparecida (SP);...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3502606;Aparecida d'Oeste (SP);-;-;-;12600;14400;15019;76800;126000;13300;114000;95000;95000;106200;122400;117600;117600;117600;117600;128000;136000;136000
3502705;Apiaí (SP);-;-;-;21000;18000;13558;13000;35000;90000;10500;-;1400;-;-;-;-;-;-;-;-;-
3502754;Araçariguama (SP);3000;4800;14000;14000;12000;5006;5006;310;5006;-;-;-;-;-;-;-;-;-;-;-;-
3502804;Araçatuba (SP);1139600;1149120;1191200;1215000;1200000;1342783;1776000;2840000;3874000;3491100;3571300;2863520;2863200;2790000;1917600;2003250;1946451;1898000;2824640;2648100;2704000
3502903;Araçoiaba da Serra (SP);31500;42000;42000;42000;42000;37546;36000;-;40500;69000;60000;54000;54000;70000;65000;50000;40000;40000;40000;8000;16000
3503000;Aramina (SP);639000;714000;700000;700000;750000;844798;874000;805000;1200000;990000;990000;990000;825000;960000;630000;675000;720000;960000;960000;900000;900000
3503109;Arandu (SP);-;-;-;4900;15960;16646;14700;22800;14700;250000;225000;225000;154000;154000;154000;140000;75000;87000;38500;-;18000
3503158;Arapeí (SP);-;-;2500;2500;2500;2607;2607;-;2600;2080;2950;3835;3835;3835;3835;3500;-;3835;3835;3250;3835
3503208;Araraquara (SP);2240000;2240000;2291200;2224000;2582400;2690646;2400000;2560000;4410000;4410000;4165000;3256590;2664000;2960000;2960000;2850000;3040000;4480000;3040000;3040000;3040000
3503307;Araras (SP);1820000;2260000;2365200;2430000;2475000;2438085;2199500;2158000;2385000;2325000;2464500;2385000;2028000;2080000;-;2067200;2160000;2560000;2446208;2560000;3200000
3503356;Arco-Íris (SP);-;-;130000;81131;142047;161865;151518;190710;262500;270576;270576;345920;404080;377340;302865;506775;555150;362096;518411;175000;225000
3503406;Arealva (SP);48000;48000;48000;48000;48000;50062;120000;1370250;1600000;1600000;1600000;626165;626165;626165;597635;597635;565312;628425;880000;669900;746784
3503505;Areias (SP);3200;-;3200;3200;3200;3129;1800;-;1800;3000;1800;1800;1800;1800;1800;1800;-;1800;1800;1690;1800
3503604;Areiópolis (SP);450000;450000;540000;536000;536000;619519;540000;594000;567000;567000;585000;585000;696000;640000;476000;459800;704000;581000;581000;675500;675550
3503703;Ariranha (SP);700700;637000;770000;773500;773500;806729;728000;728000;728000;728000;760000;720000;720000;720000;576000;630000;829555;731000;731000;627800;627800
3503802;Artur Nogueira (SP);90000;187500;92400;92400;92400;107613;153000;180000;252000;252000;232000;192000;192000;192000;216080;240000;240000;240000;233001;313600;320000
3503901;Arujá (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3503950;Aspásia (SP);-;-;-;-;-;-;-;8100;-;8800;9595;66600;74800;34425;34425;34425;51000;54400;68000;73800;85050
3504008;Assis (SP);424480;647500;547500;612193;618852;609192;602250;633710;914475;830520;895004;909239;937500;937500;875000;1112000;1042500;1320500;996880;1001470;890885
3504107;Atibaia (SP);-;-;800;820;1050;1251;1200;1200;2750;2750;3300;5400;3000;3600;2800;2800;2800;2800;3500;3500;3500
3504206;Auriflama (SP);19760;-;13188;14000;17330;17241;24000;261600;113643;-;176000;472000;542511;374084;374084;275328;423710;469700;490000;517500;495600
3504305;Avaí (SP);75250;75250;114075;115603;78840;82227;77000;84000;82227;82227;264962;303711;303711;303711;93490;93490;154200;154200;84000;84000;128400
3504404;Avanhandava (SP);759620;-;598317;919530;1248204;842566;1410000;1460000;1440000;1440000;2052673;2052673;2074960;2206345;1407138;366450;1392616;1262017;1361800;1957500;1551000
3504503;Avaré (SP);420000;590000;420000;420000;420000;438043;420000;420000;420000;700000;700000;700000;700000;700000;700000;700000;700000;700000;707000;707000;725000
3504602;Bady Bassitt (SP);2800;-;12000;12000;47000;104296;141300;125600;136000;152000;176000;176000;176000;190400;190400;270400;189000;195750;159750;231200;190060
3504701;Balbinos (SP);-;-;-;-;-;-;-;1400;1400;1400;25690;87162;87162;283875;269620;290360;311000;338560;417240;471240;471240
3504800;Bálsamo (SP);6000;6000;32000;32000;32000;33375;85000;185000;720000;693000;738000;738000;738900;746999;532000;532000;518000;576000;462000;512000;532000
3504909;Bananal (SP);6000;7200;2500;2500;2500;2607;1500;1500;1500;1375;1000;1300;1300;6500;6500;6500;6500;6500;6500;6500;3900
3505005;Barão de Antonina (SP);-;-;-;-;-;-;-;-;-;-;4800;4800;-;-;-;-;-;-;-;-;-
3505104;Barbosa (SP);72800;96000;142620;250292;233240;119770;321760;339900;345760;345760;784720;803200;827120;975120;804069;180045;558518;410998;544205;687500;791000
3505203;Bariri (SP);616000;616000;650000;960000;960000;1042960;1040000;1600000;1776000;1776000;1864000;1960000;1785000;1904000;1785000;1832600;1648000;1689200;1572525;1677000;1575000
3505302;Barra Bonita (SP);810000;810000;710000;810000;810000;844798;722500;722500;748000;748000;853864;885280;753750;828590;717120;859828;847450;847450;847450;630450;630450
3505351;Barra do Chapéu (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500;500
3505401;Barra do Turvo (SP);-;-;-;-;-;-;-;-;-;90;90;70;-;-;-;-;-;-;100;138;138
3505500;Barretos (SP);1440000;1440000;1440000;1977030;2337030;2517619;3330000;4580100;5481000;5481000;5809860;5486750;4518780;5168000;5240000;5240000;5895000;5895000;5443200;5622422;5704541
3505609;Barrinha (SP);1000000;800000;800000;945000;945000;985597;945000;945000;945000;945000;945000;829500;787500;840000;787500;787500;840000;892500;892500;892500;892500
3505708;Barueri (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3505807;Bastos (SP);24000;24000;7463;12512;10907;20948;12512;12512;33184;70560;194000;194000;200400;176550;182575;165000;213750;213750;187000;129500;131350
3505906;Batatais (SP);2040000;2175000;2600000;2635000;2635000;3174143;3485000;3757500;3740000;3782500;3471000;3782500;3842000;3842000;3540053;3842000;3799500;3842000;3842000;3842000;3842000
3506003;Bauru (SP);23660;9800;4500;3926;25130;35284;23760;37383;37883;37883;37883;62720;62720;62720;32046;73710;73710;84700;94250;94250;103110
3506102;Bebedouro (SP);1647000;1890000;1785000;1890000;2017800;2217720;2371000;2637000;2637000;2457000;2637000;2102750;2546400;2576000;2450000;2730000;2943800;3009400;2535000;2925000;2903250
3506201;Bento de Abreu (SP);795005;1020000;462573;1062500;800000;975168;1360000;1363500;1453500;1280000;1440000;1280000;1280000;740485;1008000;1320000;962885;1031800;1320000;1125000;1260000
3506300;Bernardino de Campos (SP);210000;384000;384000;400000;195500;191905;350000;488000;520000;526000;520000;526500;526500;360000;400000;400000;400000;400000;400000;400000;360000
3506359;Bertioga (SP);...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...
3506409;Bilac (SP);20736;47300;56243;50485;84298;89694;102550;102648;168728;242606;242606;348057;340800;414370;298120;301632;330179;384800;364000;374990;273000
3506508;Birigui (SP);77000;77000;109440;109440;137372;142216;130640;130640;776970;1148189;1143612;1003129;1001000;776784;800800;617400;936560;936560;817120;638040;558000
3506607;Biritiba Mirim (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3506706;Boa Esperança do Sul (SP);1295000;1520000;1360400;1656000;1656000;1365952;1612500;2062500;2400000;2400000;59500;2550000;2550000;2635000;2635000;2480000;2800000;2625000;2625000;2741655;2695000
3506805;Bocaina (SP);644000;972000;950000;972000;972000;1013757;972000;972000;1327320;1327320;1359000;1359000;1359000;1359000;1359000;1440000;1368000;1368000;1368000;1200000;1200000
3506904;Bofete (SP);-;-;-;-;-;-;-;-;6750;6750;6750;6750;-;10500;10500;8400;8400;7200;7200;11500;11500
3507001;Boituva (SP);392000;464000;392000;448000;495880;513970;700500;11961;700500;720000;659016;659016;-;800000;600000;650000;650000;650000;480000;440000;600000
3507100;Bom Jesus dos Perdões (SP);-;-;-;-;-;-;-;-;-;-;-;320;-;-;-;-;-;-;-;-;-
3507159;Bom Sucesso de Itararé (SP);-;-;-;-;-;-;-;-;-;-;320;320;-;-;-;-;-;-;-;-;-
3507209;Borá (SP);23301;18200;15540;-;65450;274298;380640;410720;387807;327280;340640;316800;340000;392800;392800;309371;299763;280050;357500;342652;352730
3507308;Boracéia (SP);540000;540000;495000;650000;650000;674894;700000;630000;630000;639000;639000;639000;639000;639000;639000;603500;603500;620500;620500;584000;547500
3507407;Borborema (SP);560000;560000;635200;637280;637280;950512;1001440;1120000;1807560;1807560;1890000;2430000;2737980;2739780;2203200;2318960;2754000;2754000;2200500;2405880;2405880
3507456;Borebi (SP);78400;78400;105770;188674;246780;236020;242620;481600;537600;537600;537600;475360;475360;475360;475360;475360;550710;338160;235484;235484;311170
3507506;Botucatu (SP);385000;420000;420000;469000;469000;489149;490000;525000;350000;840000;980000;980000;1050000;1050000;1080000;1260000;1260000;1600000;1600000;1612000;1612000
3507605;Bragança Paulista (SP);-;-;5000;4800;4800;5110;5145;5145;6000;6000;6240;11000;10000;10000;10000;10000;5600;6400;6400;400;400
3507704;Braúna (SP);119000;263500;378000;293519;374100;274260;287000;560000;392000;392000;508000;508000;480000;496000;323093;364004;509583;508599;511056;440200;504000
3507753;Brejo Alegre (SP);-;-;-;-;-;10013;15000;306000;293250;534000;535162;255689;320000;272000;196000;187500;184000;160000;198000;132000;153000
3507803;Brodowski (SP);650000;650000;676000;676000;698750;721989;721500;756750;1151560;935675;1151520;978792;1050762;1050762;1058444;935610;935610;935610;935610;935610;1079550
3507902;Brotas (SP);861000;861000;1000000;1037000;1275000;1417007;1440000;1440000;3823200;2299038;2090402;2132000;2240000;2200000;2240000;2400000;2200000;2144000;2640000;2722400;2490000
3508009;Buri (SP);-;-;-;-;-;-;-;-;-;-;16000;16000;-;-;-;-;-;-;-;-;-
3508108;Buritama (SP);22160;20000;14000;8000;30227;30179;85600;93000;95600;560000;560000;485322;337500;410285;374030;377700;452249;513000;720000;720000;720000
3508207;Buritizal (SP);600000;600000;600000;780000;800000;834368;850000;850000;911880;910000;911880;911880;750960;804600;842400;876096;898560;898560;898560;696000;696000
3508306;Cabrália Paulista (SP);38150;-;42000;42000;42000;43805;14000;55600;35000;56000;119000;118900;119000;119000;49000;235200;196000;82500;44000;44000;15504
3508405;Cabreúva (SP);11200;8400;42000;42000;42000;43805;1200;55125;49000;6400;6400;2400;2400;1200;1050;640;800;750;300;375;395
3508504;Caçapava (SP);48000;48600;48000;24000;24000;29724;108000;28500;28500;25800;25800;-;-;240000;240000;240000;200000;240000;240000;240000;240000
3508603;Cachoeira Paulista (SP);-;-;-;-;-;-;-;-;-;-;-;-;9900;9900;9900;9900;9900;9900;9900;4290;6000
3508702;Caconde (SP);19800;19800;17600;30441;30441;31749;33360;33360;33360;33360;33360;33299;16000;8000;8000;8000;8000;8000;16400;16400;16133
3508801;Cafelândia (SP);188000;188000;121092;257101;168065;243114;750000;-;270000;3112000;3210240;3000536;-;2915730;1910593;1940445;2389350;2048008;2208793;1987902;2447649
3508900;Caiabu (SP);345923;345923;345900;361240;346000;360760;345900;345900;339421;593700;742125;560000;432319;487120;468853;456675;456675;456675;446250;446250;446250
3509007;Caieiras (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2;2;2
3509106;Caiuá (SP);206150;126000;126000;124180;124180;350434;384910;384910;434976;434976;603408;516582;546180;395980;446912;420672;432191;314752;299328;306880;180544
3509205;Cajamar (SP);-;...;...;...;...;...;...;...;...;...;...;...;-;-;...;...;...;...;-;-;-
3509254;Cajati (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;60;60
3509304;Cajobi (SP);159800;301016;248370;421432;420000;444294;460665;505530;586620;586620;615600;616410;624468;864630;775164;775164;582800;628080;640000;720000;798600
3509403;Cajuru (SP);959000;910000;910000;910000;910000;1000198;1440000;1610000;1636950;1636950;1636950;1169250;1432980;1432980;1599003;1680000;1750000;1680000;873000;1545600;1545600
3509452;Campina do Monte Alegre (SP);-;-;-;-;-;-;-;24320;172500;163100;134399;300000;93500;195000;128000;136000;136000;136000;136000;102000;-
3509502;Campinas (SP);168750;168750;150000;157500;151000;210104;222476;201450;92000;92000;...;204000;220000;200000;198000;187000;220000;190000;128000;119340;119340
3509601;Campo Limpo Paulista (SP);-;-;-;-;-;-;-;-;-;-;120;...;-;...;...;...;...;...;...;...;...
3509700;Campos do Jordão (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3509809;Campos Novos Paulista (SP);32240;37200;37533;41700;45870;51939;63600;125000;171000;180000;396000;405000;414000;432000;384000;422500;525000;560000;517500;280000;583909
3509908;Cananéia (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;50;50;50;50
3509957;Canas (SP);...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3510005;Cândido Mota (SP);864000;864000;1082400;1082400;945000;880871;1312000;1440000;1705764;1642673;1525665;1586208;1722000;1785000;1760000;2185000;1702000;1680000;1743000;1743000;1743000
3510104;Cândido Rodrigues (SP);162000;162000;180000;200000;200000;208592;230000;230000;220000;207000;201600;201600;201600;201600;223342;223342;217620;219600;219200;208800;203580
3510153;Canitar (SP);400000;94000;120000;125000;125000;135585;195000;210000;252000;252000;273000;280000;288000;313600;301600;289725;274273;274273;162500;175000;202453
3510203;Capão Bonito (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3510302;Capela do Alto (SP);8000;42000;48000;16000;16000;25031;12000;30000;85000;60000;54000;54000;54000;50000;50000;50000;45000;45000;45000;41500;44667
3510401;Capivari (SP);1418734;1418734;1410000;1414000;1522500;1056873;1013340;1276650;1248000;1431330;1440000;1638750;1725000;1717575;1717575;1717575;1717575;1717575;1717575;1614630;1462000
3510500;Caraguatatuba (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;-;...;-;-;-;-;-;-
3510609;Carapicuíba (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3510708;Cardoso (SP);-;-;-;-;-;-;-;540000;450000;720000;720000;498780;480000;432000;845670;1051047;893994;1633954;1200456;1267148;1333840
3510807;Casa Branca (SP);675000;720000;880000;1040000;1040000;1191952;2000000;2050000;2050000;2050000;2050000;2250000;2450000;1962000;1962000;1960000;1960000;2070000;1780000;1780000;1680213
3510906;Cássia dos Coqueiros (SP);3640;3640;3640;4900;9100;21902;28000;35500;21000;93000;93000;83700;83700;83700;83700;98580;110000;98580;108000;108000;108000
3511003;Castilho (SP);240000;235360;126400;126400;160000;59157;541620;1391400;1391400;1933920;2340000;2655000;2835000;1880000;1763650;1820000;2032500;1950000;2032500;2712500;2833915
3511102;Catanduva (SP);1057000;1000000;1250000;1252050;1080000;1267196;1080000;1233270;1260000;1260000;1260000;1120000;1120000;1134000;1125879;1125879;1310955;1310955;1310955;1249270;1290396
3511201;Catiguá (SP);560000;490000;590000;595000;680000;709213;637500;680000;722500;722500;892500;765000;735000;735000;588000;630000;697000;680000;722500;722500;722500
3511300;Cedral (SP);32000;32000;33520;33520;246000;208592;330000;478500;369750;464000;508000;508000;512000;520000;487500;568000;750000;750000;486000;448000;405000
3511409;Cerqueira César (SP);90000;100000;90000;126000;99000;131413;170000;500000;783000;800000;918000;1080000;1080000;1080000;1080000;1200000;1360000;984000;900000;800000;750000
3511508;Cerquilho (SP);400000;400000;400000;400000;450000;469332;450000;475000;475000;414000;470000;506000;616400;211140;211140;211140;477180;477180;477180;477180;477180
3511607;Cesário Lange (SP);558300;300000;278800;319800;395048;392153;450000;480000;600000;400000;476190;476190;495000;660000;660000;1056000;1056000;1056000;1056000;1056000;1056000
3511706;Charqueada (SP);665000;665000;665000;665000;712500;743109;675000;711750;869700;869700;893100;884676;897000;897000;616980;720000;734500;734500;670000;620500;617652
3511904;Clementina (SP);153020;320000;213568;208854;237133;339438;233522;344700;423766;344700;579960;419140;402800;445436;323682;344555;436021;390881;427649;376200;399000
3512001;Colina (SP);1080000;1080000;1485000;1485000;1485000;1458683;1560000;1760000;1760000;1760000;1760000;1837500;2000000;2000000;2184000;2184000;2295000;2210000;2009600;2034720;2059840
3512100;Colômbia (SP);3840;44038;44000;51604;51604;828527;1171780;1816800;2336180;2493456;2493456;2006960;2172816;2263350;2655000;2850000;3040000;3040000;3040000;3040000;3040000
3512209;Conchal (SP);120000;120000;72000;72000;73600;76762;69000;300000;176000;68000;74000;37013;63720;126000;127500;160000;225250;242850;242850;213750;210000
3512308;Conchas (SP);29040;10200;10200;29030;21780;18929;49000;84000;112000;102494;95160;95160;128380;102494;102494;128380;128380;128380;213440;215000;215000
3512407;Cordeirópolis (SP);360000;360000;360000;360000;360000;375466;372000;372000;372000;558000;558000;895410;895860;895860;914958;696780;1094940;1118260;1118260;967932;940000
3512506;Coroados (SP);41460;48370;84836;88688;63431;178184;500000;722500;626000;850000;800000;687288;748000;722500;537372;780750;788400;847800;748000;651000;790500
3512605;Coronel Macedo (SP);-;-;-;-;-;-;-;-;100000;100000;100800;112800;103400;87120;120000;60000;24000;32000;40000;-;-
3512704;Corumbataí (SP);64000;64000;75340;240000;152866;233807;270000;214980;248000;216000;216000;216000;176080;367500;164142;214760;240500;240500;259000;259000;259000
3512803;Cosmópolis (SP);525000;-;520000;607500;607500;383288;383288;451575;425000;425000;...;729980;513000;552586;474675;474675;569400;569400;622544;486400;466135
3512902;Cosmorama (SP);-;-;-;-;73800;125155;150000;326000;400000;950000;950000;949000;600000;700000;665000;560000;800000;1360000;1360000;1190000;1190000
3513009;Cotia (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3513108;Cravinhos (SP);1312500;1312500;1312500;1312500;1312500;1542037;1480000;1480000;1890574;1742840;1742800;1742470;1742400;1742400;1600856;1546380;1742400;1546380;1546380;1546380;1546380
3513207;Cristais Paulista (SP);-;-;-;-;-;-;29700;40000;234000;190000;190000;190000;190000;360434;284147;284147;416000;390000;467500;440000;430832
3513306;Cruzália (SP);-;5000;-;43306;59430;64935;53000;111250;113288;156053;141276;279404;245820;245820;237144;124051;147900;321500;340000;294950;306630
3513405;Cruzeiro (SP);400;400;400;400;400;835;835;-;835;889;1125;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625
3513504;Cubatão (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3513603;Cunha (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3513702;Descalvado (SP);1176500;1448000;1150000;1440000;1230000;1281558;1530000;1530000;1530000;1963500;2180938;2303500;1699930;1700000;1950000;1760000;2560000;3040000;2240000;2240000;2320000
3513850;Dirce Reis (SP);-;-;-;-;-;-;-;6000;-;8800;19500;12500;10400;153600;158800;158800;158800;158800;160000;160000;160000
3513900;Divinolândia (SP);-;-;-;-;-;-;-;12000;12000;12000;20000;18000;4200;4000;4000;4000;4000;4000;-;-;-
3514007;Dobrada (SP);665000;864000;864000;864000;927000;901117;918650;918650;918650;822000;882000;882000;842000;842000;589960;884700;884700;884700;872200;900000;900000
3514106;Dois Córregos (SP);2250000;2250000;2400000;2640000;2800000;2483326;2400000;2720000;2788960;2788960;2788960;3060000;3060000;3060000;3060000;3060000;3060000;3060000;3102500;3060000;2925000
3514205;Dolcinópolis (SP);-;-;-;-;-;-;-;3600;-;93600;157500;200000;228000;250000;189000;261000;315000;288000;234000;216000;216000
3514304;Dourado (SP);407040;432000;345600;430938;430938;449451;510000;520000;729045;571680;452480;612345;620000;645000;425000;487500;600000;526706;367200;367200;480000
3514403;Dracena (SP);-;-;-;-;96000;125155;517000;654260;935000;935000;988191;871200;790000;1200000;780000;980000;1026750;992600;1078000;1078000;875000
3514502;Duartina (SP);-;-;1760;1765;1770;6383;6120;7980;14450;17000;34850;34800;34800;34801;34768;34000;30450;28275;16100;2960;15555
3514601;Dumont (SP);560000;400000;480000;675000;675000;703998;675000;675000;765000;675000;675000;671500;637500;680000;680000;680000;680000;722500;722500;722500;722500
3514700;Echaporã (SP);263440;263440;379275;302124;280000;325404;285636;322256;344687;568260;528091;509175;403000;403000;403000;456168;456168;350000;144000;180000;156000
3514809;Eldorado (SP);2100;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3514908;Elias Fausto (SP);1008900;969000;950000;1464000;1125000;1055476;1074600;960000;1089000;999000;825000;877575;900000;1080000;828000;1000000;960000;912000;553000;553000;496000
3514924;Elisiário (SP);217000;223300;272000;272000;288000;300372;468000;468000;468000;468000;468000;374400;524800;576000;460800;460800;576000;555030;444024;407022;407022
3514957;Embaúba (SP);89930;89930;97750;97750;97750;15644;297500;297500;297500;297500;323000;447030;328020;498060;524080;512000;508000;480000;522750;522750;522750
3515004;Embu das Artes (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...
3515103;Embu-Guaçu (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;-;-;-
3515129;Emilianópolis (SP);-;-;-;114312;114312;149537;228000;142500;198109;360000;360000;322000;326600;322000;372005;450000;490000;490000;510000;510000;338800
3515152;Engenheiro Coelho (SP);70000;70000;70000;70000;70000;93866;80750;64372;64372;81000;81000;81000;81000;92250;117750;172000;167700;170000;186000;216000;204000
3515186;Espírito Santo do Pinhal (SP);90000;72000;93500;96605;145500;93866;135600;144500;110500;256000;288000;184000;191200;176000;144000;142500;168240;128000;126000;113400;136000
3515194;Espírito Santo do Turvo (SP);188000;300000;113000;300000;141300;156444;300000;256280;375000;375000;375000;375000;520000;344000;405000;300000;175000;150000;130000;165000;171134
3515202;Estrela d'Oeste (SP);116160;160000;176000;168000;160000;166874;192000;249000;336000;326400;326400;272000;255000;255000;445900;509600;509600;509600;653600;653600;693600
3515301;Estrela do Norte (SP);-;7500;3150;5400;5400;6571;6300;6300;6300;558000;558000;504000;529500;600000;506250;607500;675000;591600;523600;523600;660620
3515350;Euclides da Cunha Paulista (SP);100000;120000;3700;1800;-;-;17500;17500;14000;-;14000;150416;229000;323600;294980;223583;335817;394170;370860;322261;284877
3515400;Fartura (SP);-;29000;-;-;-;-;-;-;-;-;-;-;-;135600;120040;108480;124800;124800;117000;85500;14000
3515509;Fernandópolis (SP);429600;429600;480000;480000;450000;438043;448000;448000;800000;840000;1080000;376000;945000;990000;1050000;1050000;1050000;1050000;1360000;1227000;1360000
3515608;Fernando Prestes (SP);330000;380000;400000;400000;480000;500621;680000;680000;700000;700000;68000;680000;720000;931762;529760;541800;630000;658000;900000;841500;807500
3515657;Fernão (SP);-;-;-;-;-;-;-;-;24000;24000;14800;16000;-;-;-;-;-;-;60;60;60
3515707;Ferraz de Vasconcelos (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3515806;Flora Rica (SP);-;70000;136974;101640;126735;170609;360000;360000;260000;273500;273500;240000;301000;397250;330000;455000;414000;393600;459200;322500;315000
3515905;Floreal (SP);-;-;-;-;-;-;13500;63000;63000;409680;409680;405000;318640;311640;282800;273000;273000;270000;270000;270000;243000
3516002;Flórida Paulista (SP);727300;727300;1130024;1295100;1350000;1203602;1835100;1620000;2070000;2070000;1800000;1687500;1400000;1400000;1459360;1260000;1246000;1566110;1140440;1258600;1267000
3516101;Florínea (SP);630000;700000;700000;770000;566390;571328;900000;807500;855000;859320;788967;857375;747000;765000;685760;754460;667745;843220;843220;976360;843220
3516200;Franca (SP);42000;64000;64000;64000;80000;116812;132000;132000;208000;208000;208000;208000;168000;168000;168000;168000;168000;168000;160000;160000;310400
3516309;Francisco Morato (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3516408;Franco da Rocha (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;-;-;-
3516507;Gabriel Monteiro (SP);54600;68880;101800;146922;146869;118745;118350;220090;292670;305689;294673;238442;204816;260700;267750;234717;219437;243004;441760;441760;344000
3516606;Gália (SP);-;-;-;-;-;-;-;-;-;...;780;780;-;-;-;-;-;-;-;-;-
3516705;Garça (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3516804;Gastão Vidigal (SP);39600;-;-;-;13940;-;43375;260750;199500;262500;256250;256250;405000;405000;243420;397800;397800;420000;423359;442305;436000
3516853;Gavião Peixoto (SP);273000;273000;214800;292500;292500;305066;292500;312000;512640;521640;508300;459000;722500;850000;803400;448000;567000;1360000;504000;520802;516600
3516903;General Salgado (SP);1048600;145584;300770;426300;429264;516132;470000;470000;793001;810320;771200;888000;818785;753963;753963;594114;521916;899405;845000;975000;846872
3517000;Getulina (SP);294080;294080;141975;223025;119652;141422;325760;-;156428;2166300;1969120;1975520;-;2001920;1786680;1506680;1135875;1518750;1518750;1383750;1383750
3517109;Glicério (SP);142500;150000;216027;172800;262500;104517;390660;595000;750500;750500;979400;979400;910010;868445;707953;640028;785872;544698;600566;874320;800000
3517208;Guaiçara (SP);210000;210000;257490;422200;282288;310607;623200;-;735000;850000;600000;584000;-;760000;760000;665000;855000;600000;805000;470145;493850
3517307;Guaimbê (SP);-;-;-;-;-;-;40000;-;72000;306200;306200;306200;-;340000;221802;266160;154260;98800;144980;118030;137500
3517406;Guaíra (SP);2070000;2000000;2660000;2915000;2800000;2742780;2612500;5100000;5100000;5000000;5800000;5265000;4880000;5490000;5185000;5100000;5100000;5100000;5270000;5270000;5270000
3517505;Guapiaçu (SP);493280;432000;532520;532500;532500;569456;720000;738000;1434510;1206810;1616220;1616220;1616310;1526515;1260000;1436720;1436320;1532320;1064000;1064000;1230080
3517604;Guapiara (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3517703;Guará (SP);612000;880000;1320080;1452088;1457600;1542037;1624000;1624000;1871785;1938000;1768510;1938000;1955000;1955000;1955000;1840000;1840000;1840000;1831000;1824000;1824000
3517802;Guaraçaí (SP);106160;90000;76854;77000;91000;258823;225000;900000;900000;900000;900000;1530000;1400000;1400000;1610000;1610000;1750000;1750000;1750000;1750000;1750000
3517901;Guaraci (SP);300000;475000;375000;450000;487500;508443;1232500;1754400;1754400;1754400;1751000;2091000;1722000;2244000;2992500;2925000;3789000;3789000;3192000;3192000;3324987
3518008;Guarani d'Oeste (SP);11250;11250;1200;37702;28000;12516;10000;8000;32000;44000;40000;32000;90000;105000;120000;128000;128000;120000;120000;116640;128000
3518107;Guarantã (SP);-;-;-;-;-;-;45000;91000;80000;1080000;720000;720000;120000;720000;672000;567000;594000;594000;674940;669340;787430
3518206;Guararapes (SP);1309410;1309410;1346862;1563920;1520000;2165783;2430000;3735000;3645000;4190490;4190490;3610480;3957685;2376438;2203875;3259270;3119270;3073600;3260000;3259200;3007500
